,hero_low,preprocess_txt,total_len,pos_count,neg_count,sentiment
0,Kumiko Toga was not having a good day.,"['kumiko', 'toga', 'good', 'day']",4,1,0,0.25
1,"First, her older sister was kicked out of their own house unjustly by her parents, so she ran away from home to accompany her and make sure Himiko didn’t die.","['first', 'older', 'sister', 'kicked', 'house', 'unjustly', 'parent', 'ran', 'away', 'home', 'accompany', 'make', 'sure', 'himiko', 'die']",15,0,2,-0.13
2,"She knew that if she returned, her parents would punish her for running away, and that was not exactly the most ideal situation.","['knew', 'returned', 'parent', 'would', 'punish', 'running', 'away', 'exactly', 'ideal', 'situation']",10,1,1,0.0
3,"This caused some problems: no money, no shelter, no food or water.","['caused', 'problem', 'money', 'shelter', 'food', 'water']",6,0,1,-0.17
4,"Himiko proposed that they steal food and other necessities from stores, but Kumiko didn’t like the idea of stealing from smaller stores and managed to convince her sister to only steal from people who could afford to lose some money.","['himiko', 'proposed', 'steal', 'food', 'necessity', 'store', 'kumiko', 'like', 'idea', 'stealing', 'smaller', 'store', 'managed', 'convince', 'sister', 'steal', 'people', 'could', 'afford', 'lose', 'money']",21,2,4,-0.1
5,"They set up a shelter tucked into an alleyway using anything waterproof or durable that they could find in a dumpster nearby, and luckily they had also found some old blankets and fabric they could use for bedding.","['set', 'shelter', 'tucked', 'alleyway', 'using', 'anything', 'waterproof', 'durable', 'could', 'find', 'dumpster', 'nearby', 'luckily', 'also', 'found', 'old', 'blanket', 'fabric', 'could', 'use', 'bedding']",21,1,0,0.05
6,"A few months from then, Kumiko managed to get a job moving boxes for a nearby shop, disguised as a young boy she’d seen on the streets once.","['month', 'kumiko', 'managed', 'get', 'job', 'moving', 'box', 'nearby', 'shop', 'disguised', 'young', 'boy', 'seen', 'street']",14,0,0,0.0
7,"She didn’t know his quirk, but she just told the shopkeeper that it was a minor quirk that let him see slightly better and got away with it.","['know', 'quirk', 'told', 'shopkeeper', 'minor', 'quirk', 'let', 'see', 'slightly', 'better', 'got', 'away']",12,1,0,0.08
8,"There were a few slip-ups where she forgot what she’d called herself or what the boy had looked like, but the shopkeeper was not very observant and she got good money for her job.","['slip', 'ups', 'forgot', 'called', 'boy', 'looked', 'like', 'shopkeeper', 'observant', 'got', 'good', 'money', 'job']",13,2,0,0.15
9,"By now, they were living easier than before, having three meals a day, plenty of water, and some extra money to spare.","['living', 'easier', 'three', 'meal', 'day', 'plenty', 'water', 'extra', 'money', 'spare']",10,1,0,0.1
10,"Kumiko bought a simple cap to cover her hair at work (her disguises only lasted for so long without training and she had very little endurance, and she soon found out that they began dissolving from top down - thus the hat), and Himiko bought herself a cheap winter coat, as it was starting to get chilly in the city.","['kumiko', 'bought', 'simple', 'cap', 'cover', 'hair', 'work', 'disguise', 'lasted', 'long', 'without', 'training', 'little', 'endurance', 'soon', 'found', 'began', 'dissolving', 'top', 'thus', 'hat', 'himiko', 'bought', 'cheap', 'winter', 'coat', 'starting', 'get', 'chilly', 'city']",30,2,2,0.0
11,Kumiko had a gut feeling that something was going to go wrong today.,"['kumiko', 'gut', 'feeling', 'something', 'going', 'go', 'wrong', 'today']",8,0,1,-0.12
12,"She brushed it off as nerves, but a few hours later the roaring engine of a car and crashing could be heard from outside their shelter.","['brushed', 'nerve', 'hour', 'later', 'roaring', 'engine', 'car', 'crashing', 'could', 'heard', 'outside', 'shelter']",12,0,1,-0.08
13,Kumiko peeked outside to see a flaming hero chasing a man holding some sort of remote.,"['kumiko', 'peeked', 'outside', 'see', 'flaming', 'hero', 'chasing', 'man', 'holding', 'sort', 'remote']",11,1,0,0.09
14,"Stopping in front of their alleyway, the escaping man began scaling the wall of the multi-story building to their right, and the hero followed.","['stopping', 'front', 'alleyway', 'escaping', 'man', 'began', 'scaling', 'wall', 'multi', 'story', 'building', 'right', 'hero', 'followed']",14,2,0,0.14
15,"The man held out the remote and seemed to shout something to the hero from the roof, but the hero continued to scale the wall and shot himself all the way to the top with a large blast of fire.","['man', 'held', 'remote', 'seemed', 'shout', 'something', 'hero', 'roof', 'hero', 'continued', 'scale', 'wall', 'shot', 'way', 'top', 'large', 'blast', 'fire']",18,3,0,0.17
16,"Kumiko shielded her eyes, not used to the brightness of the flames, but snapped them open again when she heard a deafening BOOM from the building the man had been standing on moments before.","['kumiko', 'shielded', 'eye', 'used', 'brightness', 'flame', 'snapped', 'open', 'heard', 'deafening', 'boom', 'building', 'man', 'standing', 'moment']",15,1,0,0.07
17,The building exploded and began to crumble down just a few feet from their home.,"['building', 'exploded', 'began', 'crumble', 'foot', 'home']",6,0,1,-0.17
18,Kumiko quickly grabbed a sleepy Himiko and started to run.,"['kumiko', 'quickly', 'grabbed', 'sleepy', 'himiko', 'started', 'run']",7,0,0,0.0
19,"They sprinted as fast as they could, but before they made it to the open street a large chunk of concrete began to fall from right above them.","['sprinted', 'fast', 'could', 'made', 'open', 'street', 'large', 'chunk', 'concrete', 'began', 'fall', 'right']",12,2,1,0.08
20,"Himiko stumbled, her hand slipping away from Kumiko’s, and she screamed for Himiko as she dove out of the way of the falling debris.","['himiko', 'stumbled', 'hand', 'slipping', 'away', 'kumiko', 'screamed', 'himiko', 'dove', 'way', 'falling', 'debris']",12,0,2,-0.17
